BBA_ID,Lat1,Lon1,Forest1,Elev1,Lat2,Lon2,Forest2,Elev2,Lat3,Lon3,Forest3,Elev3,Lat4,Lon4,Forest4,Elev4
95B54,39.8125,-75.65625,0.763327206,NA,39.79166667,-75.6875,0.360680633,77.01293945,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94C41,39.72916667,-75.84375,0.977500248,NA,39.70833333,-75.8125,0.764122657,NA,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95C42,39.72916667,-75.78125,0.550745066,NA,39.70833333,-75.8125,0.764122657,NA,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95A42,39.97916667,-75.78125,0.197560976,152.7759923,39.95833333,-75.8125,0.585984192,141.8835105,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94A33,39.9375,-75.96875,0.915090211,181.6182003,39.95833333,-75.9375,0.805571028,184.612805,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95A44,39.9375,-75.78125,0.866882631,118.5696513,39.95833333,-75.8125,0.585984192,141.8835105,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94A43,39.9375,-75.84375,0.446617373,134.9358263,39.95833333,-75.8125,0.585984192,141.8835105,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94A34,39.9375,-75.90625,0.904217713,171.6041972,39.95833333,-75.9375,0.805571028,184.612805,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94B41,39.85416667,-75.84375,0.321231484,149.0325165,39.875,-75.8125,0.59879464,132.9590624,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95A46,39.89583333,-75.78125,0.320034238,130.8995199,39.875,-75.8125,0.59879464,132.9590624,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95B42,39.85416667,-75.78125,0.848972251,113.1022873,39.875,-75.8125,0.59879464,132.9590624,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95B55,39.77083333,-75.71875,0.076886478,NA,39.79166667,-75.6875,0.360680633,77.01293945,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94C32,39.72916667,-75.90625,0.266027332,NA,39.70833333,-75.9375,0.440440434,NA,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94C31,39.72916667,-75.96875,0.614853536,NA,39.70833333,-75.9375,0.440440434,NA,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94A25,39.89583333,-76.09375,0.291722973,186.3243179,39.875,-76.0625,0.52075779,164.3392942,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
94B12,39.85416667,-76.15625,0.735328018,179.7641544,39.875,-76.1875,0.499246385,189.061823,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
94B21,39.85416667,-76.09375,0.430912771,157.9177637,39.875,-76.0625,0.52075779,164.3392942,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
94A14,39.9375,-76.15625,0.610349612,189.0812716,39.95833333,-76.1875,0.398564884,144.8843507,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
94B11,39.85416667,-76.21875,0.361561412,193.6209126,39.875,-76.1875,0.499246385,189.061823,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
94A15,39.89583333,-76.21875,0.154692951,197.4115524,39.875,-76.1875,0.499246385,189.061823,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
93A72,39.97916667,-76.28125,0.836823203,123.8443865,39.95833333,-76.3125,0.887801002,113.5881257,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
93A71,39.97916667,-76.34375,0.915678167,104.0177088,39.95833333,-76.3125,0.887801002,113.5881257,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
93A73,39.9375,-76.34375,0.89695717,114.1611414,39.95833333,-76.3125,0.887801002,113.5881257,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
93A76,39.89583333,-76.28125,0.75210924,210.3480595,39.875,-76.3125,0.568029808,172.6133852,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
93B71,39.85416667,-76.34375,0.962806138,176.6862488,39.875,-76.3125,0.568029808,172.6133852,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
93B72,39.85416667,-76.28125,0.275454176,194.9217777,39.875,-76.3125,0.568029808,172.6133852,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
93A75,39.89583333,-76.34375,0.281749678,108.4974546,39.875,-76.3125,0.568029808,172.6133852,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
93B62,39.85416667,-76.40625,0.305187544,224.8875523,39.875,-76.4375,0.603825028,201.7823029,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
93A66,39.89583333,-76.40625,0.819411765,152.356081,39.875,-76.4375,0.603825028,201.7823029,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
94A16,39.89583333,-76.15625,0.74540316,185.4506727,39.875,-76.1875,0.499246385,189.061823,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
94A26,39.89583333,-76.03125,0.671674257,188.8304024,39.875,-76.0625,0.52075779,164.3392942,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
94A22,39.97916667,-76.03125,0.588438017,163.9497566,39.95833333,-76.0625,0.445225095,179.3490467,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
94A23,39.9375,-76.09375,0.229425676,213.8866272,39.95833333,-76.0625,0.445225095,179.3490467,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535
