Cell,BBA_ID,eLists,eHours,eKM,eHA,eNumObs,eCount
1537,49B73,0,0,0,0,0,0
1538,46B23,0,0,0,0,0,0
1539,49B64,0,0,0,0,0,0
1540,55B55,0,0,0,0,0,0
1541,46B24,5,0.5,0,0,5,0
1542,49B63,0,0,0,0,0,0
1543,46B33,0,0,0,0,0,0
1544,49B54,3,3.05,2.414,0,6,0
1545,46B34,0,0,0,0,0,0
1546,49B53,8,0.8,0,0,8,0
1547,46B43,0,0,0,0,0,0
1548,49B44,0,0,0,0,0,0
1549,47B44,0,0,0,0,0,0
1550,48B43,0,0,0,0,0,0
1551,47B53,0,0,0,0,0,0
1552,48B34,0,0,0,0,0,0
1553,55B46,0,0,0,0,0,0
1554,47B54,0,0,0,0,0,0
1555,48B33,0,0,0,0,0,0
1556,47B63,0,0,0,0,0,0
1557,48B24,0,0,0,0,0,0
1558,47B64,0,0,0,0,0,0
1559,48B23,0,0,0,0,0,0
1560,47B73,0,0,0,0,0,0
1561,48B14,0,0,0,0,0,0
1562,47B74,0,0,0,0,0,0
1563,48B13,0,0,0,0,0,0
1564,54B45,0,0,0,0,0,0
1565,54B36,0,0,0,0,0,0
1566,54B35,1,2,3.219,0,1,1
1567,54B26,0,0,0,0,0,0
1568,54B25,0,0,0,0,0,0
1569,54B16,0,0,0,0,0,0
1570,54B15,0,0,0,0,0,0
1571,53B76,0,0,0,0,0,0
1572,42B16,0,0,0,0,0,0
1573,53B75,0,0,0,0,0,0
1574,42B25,0,0,0,0,0,0
1575,53B66,0,0,0,0,0,0
1576,42B26,0,0,0,0,0,0
1577,53B65,0,0,0,0,0,0
1578,42B35,1,1,6.437,0,1,0
1579,53B56,0,0,0,0,0,0
1580,42B36,0,0,0,0,0,0
1581,53B55,0,0,0,0,0,0
1582,42B45,0,0,0,0,0,0
1583,53B46,1,3,0,0,1,0
1584,43B46,0,0,0,0,0,0
1585,52B45,4,2.42,3.219,48.5623,0,0
1586,43B55,0,0,0,0,0,0
1587,52B36,0,0,0,0,0,0
1588,43B56,9,1.3,3.219,0,9,0
1589,52B35,0,0,0,0,0,0
1590,43B65,8,0.8,0,0,8,0
1591,52B26,0,0,0,0,0,0
1592,43B66,8,0.8,0,0,8,0
1593,52B25,0,0,0,0,0,0
1594,43B75,1,1,6.437,0,1,0
1595,52B16,0,0,0,0,0,0
1596,43B76,9,2.8,8.047,0,9,0
1597,52B15,0,0,0,0,0,0
1598,44B15,8,0.8,0,0,8,0
1599,51B76,0,0,0,0,0,0
1600,44B16,0,0,0,0,0,0
1601,51B75,0,0,0,0,0,0
1602,44B25,8,0.8,0,0,8,0
1603,51B66,0,0,0,0,0,0
1604,44B26,0,0,0,0,0,0
1605,51B65,0,0,0,0,0,0
1606,44B35,0,0,0,0,0,0
1607,51B56,0,0,0,0,0,0
1608,44B36,1,3,8.047,0,1,0
1609,51B55,0,0,0,0,0,0
1610,44B45,0,0,0,0,0,0
1611,51B46,0,0,0,0,0,0
1612,45B46,1,5,19.312,0,1,1
1613,50B45,0,0,0,0,0,0
1614,45B55,1,0.08,0,0,2,0
1615,50B36,0,0,0,0,0,0
1616,45B56,2,1.25,8.046,0,2,0
1617,50B35,0,0,0,0,0,0
1618,45B65,0,0,0,0,0,0
1619,50B26,1,0.5,0,0,2,0
1620,45B66,0,0,0,0,0,0
1621,50B25,0,0,0,0,0,0
1622,45B75,0,0,0,0,0,0
1623,50B16,0,0,0,0,0,0
1624,45B76,1,2.5,3.219,0,1,0
1625,50B15,0,0,0,0,0,0
1626,46B15,0,0,0,0,0,0
1627,49B76,0,0,0,0,0,0
1628,46B16,0,0,0,0,0,0
1629,49B75,0,0,0,0,0,0
1630,46B25,5,0.5,0,0,5,0
1631,49B66,0,0,0,0,0,0
1632,55C51,0,0,0,0,0,0
1633,46B26,4,0.4,0,0,4,1
1634,49B65,0,0,0,0,0,0
1635,46B35,0,0,0,0,0,0
1636,49B56,0,0,0,0,0,0
1637,46B36,0,0,0,0,0,0
1638,49B55,8,0.8,0,0,8,3
1639,46B45,0,0,0,0,0,0
1640,49B46,7,0.7,0,0,7,6
1641,47B46,0,0,0,0,0,0
1642,48B45,0,0,0,0,0,0
1643,47B55,0,0,0,0,0,0
1644,48B36,0,0,0,0,0,0
1645,55C42,1,0.5,3.219,0,0,0
1646,47B56,0,0,0,0,0,0
1647,48B35,0,0,0,0,0,0
1648,47B65,0,0,0,0,0,0
1649,48B26,5,0.25,0,0,5,0
1650,47B66,0,0,0,0,0,0
1651,48B25,0,0,0,0,0,0
1652,47B75,0,0,0,0,0,0
1653,48B16,0,0,0,0,0,0
1654,47B76,0,0,0,0,0,0
1655,48B15,0,0,0,0,0,0
1656,54C41,0,0,0,0,0,0
1657,54C32,0,0,0,0,0,0
1658,54C31,0,0,0,0,0,0
1659,54C22,0,0,0,0,0,0
1660,54C21,0,0,0,0,0,0
1661,54C12,0,0,0,0,0,0
1662,54C11,0,0,0,0,0,0
