"","Lon1","Lat1","Centroid_ID","rn","nearest_in_grid2","nearest_in_grid3","nearest_in_grid4"
"303",-78.03125,39.97916667,303,303,88,7,4
"304",-78.03125,39.9375,304,304,88,7,4
"305",-78.21875,39.9375,305,305,89,7,4
"306",-78.15625,39.9375,306,306,89,7,4
"307",-78.21875,39.97916667,307,307,89,7,4
"308",-78.15625,39.97916667,308,308,89,7,4
"309",-78.15625,39.85416667,309,309,90,7,4
"310",-78.09375,39.85416667,310,310,87,7,4
"311",-78.21875,39.85416667,311,311,90,7,4
"312",-78.09375,39.89583333,312,312,87,7,4
"313",-78.03125,39.85416667,313,313,87,7,4
"314",-78.15625,39.89583333,314,314,90,7,4
"315",-78.21875,39.89583333,315,315,90,7,4
"316",-78.34375,39.9375,316,316,91,7,4
"317",-78.28125,39.9375,317,317,91,7,4
"318",-78.46875,39.9375,318,318,92,7,4
"319",-78.46875,39.97916667,319,319,92,7,4
"320",-78.28125,39.97916667,320,320,91,7,4
"321",-78.40625,39.9375,321,321,92,7,4
"322",-78.34375,39.97916667,322,322,91,7,4
"323",-78.34375,39.85416667,323,323,93,7,4
"324",-78.28125,39.89583333,324,324,93,7,4
"325",-78.28125,39.85416667,325,325,93,7,4
"326",-78.34375,39.89583333,326,326,93,7,4
"327",-78.46875,39.85416667,327,327,94,7,4
"328",-78.46875,39.89583333,328,328,94,7,4
"329",-78.40625,39.97916667,329,329,92,7,4
"330",-78.40625,39.85416667,330,330,94,7,4
"331",-78.40625,39.89583333,331,331,94,7,4
"332",-78.28125,39.8125,332,332,95,7,4
"333",-78.40625,39.77083333,333,333,96,7,4
"334",-78.46875,39.8125,334,334,96,7,4
"335",-78.40625,39.8125,335,335,96,7,4
"336",-78.46875,39.77083333,336,336,96,7,4
"337",-78.34375,39.77083333,337,337,95,7,4
"338",-78.34375,39.8125,338,338,95,7,4
"339",-78.28125,39.77083333,339,339,95,7,4
"340",-78.15625,39.8125,340,340,97,7,4
"341",-78.21875,39.77083333,341,341,97,7,4
"342",-78.34375,39.72916667,342,342,98,7,4
"343",-78.28125,39.72916667,343,343,98,7,4
"344",-78.40625,39.72916667,344,344,99,7,4
"345",-78.21875,39.8125,345,345,97,7,4
