"","BBA_ID","Lat1","Lon1","Forest1","Elev1","Lat2","Lon2","Forest2","Elev2","Lat3","Lon3","Forest3","Elev3","Lat4","Lon4","Forest4","Elev4","Centroid_ID","nearest_block_BBA_ID","Cell","eLists","eHours","eKM","eHA","eNumObs","eCount","total.eLists","total.eHours","total.eNumObs","total.eCount"
"40","92A41",39.97916667,-76.71875,0.190479426,119.5908063,39.95833333,-76.6875,0.381432185,165.4389371,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,40,40,4390,1,0.17,0,0,1,0,2.5,0.785,2.5,0
"41","92B31",39.85416667,-76.84375,0.852556036,195.7983475,39.875,-76.8125,0.444058331,177.2285645,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,41,41,4654,0,0,0,0,0,0,0,0,0,0
"42","92A32",39.97916667,-76.78125,0.549245514,138.3131888,39.95833333,-76.8125,0.386607097,138.6726266,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,42,42,4392,0,0,0,0,0,0,0.5,0.1275,1,0
"43","93A53",39.9375,-76.59375,0.157094767,213.2035866,39.95833333,-76.5625,0.434264434,171.2343447,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,43,43,4473,0,0,0,0,0,0,0.5,3,0.5,0
"44","92B22",39.85416667,-76.90625,0.25500663,167.466238,39.875,-76.9375,0.403165012,188.1823636,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,44,44,4656,0,0,0,0,0,0,0,0,0,0
"45","92C41",39.72916667,-76.71875,0.86689095,247.9034729,39.70833333,-76.6875,0.855374468,242.9163895,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,45,45,4886,3,0.3,0,0,3,0,5.5,11.2,5.5,0
"46","92A23",39.9375,-76.96875,0.196370927,135.6652613,39.95833333,-76.9375,0.458905429,141.7399075,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,46,46,4485,0,0,0,0,0,0,0,0,0,0
"47","93B54",39.8125,-76.53125,0.127283821,219.2139762,39.79166667,-76.5625,0.46546552,238.9517485,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,47,47,4725,0,0,0,0,0,0,0.75,2.75,0.75,0
"48","93C52",39.72916667,-76.53125,0.846260763,NA,39.70833333,-76.5625,0.620978204,NA,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,48,48,4880,2,8.5,32.186,0,2,0,1,4.25,1,0
"49","92B26",39.77083333,-76.90625,0.079679108,217.024847,39.79166667,-76.9375,0.327997873,198.9520626,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,49,49,4815,3,7.5,6.438,0,3,0,0.75,1.875,0.75,0
"50","92B43",39.8125,-76.71875,0.234234234,215.8671741,39.79166667,-76.6875,0.50706123,239.5780764,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,50,50,4731,0,0,0,0,0,0,1.25,4.25,1.75,0
"51","92B36",39.77083333,-76.78125,0.362202047,234.8811474,39.79166667,-76.8125,0.568450747,218.5591636,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,51,51,4811,30,11.19,0,6.069,30,0,7.5,2.7975,7.5,0
"52","92C21",39.72916667,-76.96875,0.768181509,207.4371719,39.70833333,-76.9375,0.805066447,237.2268982,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,52,52,4894,3,5.2,16.093,0,3,0,2.5,2.7,2.5,0
"53","92C32",39.72916667,-76.78125,0.848665193,253.8014297,39.70833333,-76.8125,0.914199989,253.579113,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,53,53,4888,2,0.2,0,0,2,0,2.5,0.25,2.5,0
"54","92A11",39.97916667,-77.09375,0.905885553,179.2390311,39.95833333,-77.0625,0.776426663,173.6978559,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,54,54,4402,0,0,0,0,0,0,0.5,0.3875,0.5,0
"55","92C11",39.72916667,-77.09375,0.429080784,190.4508896,39.70833333,-77.0625,0.644168636,205.9881757,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,55,55,4898,2,0.2,0,0,2,0,3,0.3,3,0
"56","91C72",39.72916667,-77.15625,0.83948352,154.6182963,39.70833333,-77.1875,0.539636968,144.9692424,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,56,56,4900,3,0.3,0,0,3,0,3.5,0.35,3.5,0
"57","92B14",39.8125,-77.03125,0.410445479,164.2348347,39.79166667,-77.0625,0.621073591,177.0116558,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,57,57,4741,0,0,0,0,0,0,0.5,1.75,0.75,0
"58","91B73",39.8125,-77.21875,0.280283746,158.7278557,39.79166667,-77.1875,0.416239291,157.9510762,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,58,58,4747,6,13.42,76.121,0,9,0,1.5,3.355,2.25,0
"59","91C62",39.72916667,-77.28125,0.763823683,159.4099121,39.70833333,-77.3125,0.406070765,154.5440827,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,59,59,4904,2,1.1,0.402,0,2,0,2.5,0.7,2.5,0
"60","91C52",39.72916667,-77.40625,0.890819449,260.2057495,39.70833333,-77.4375,0.697084625,308.4462891,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,60,60,4908,3,0.3,0,0,3,0,3,0.3,3,0
"61","91B54",39.8125,-77.40625,0.938492333,312.6532574,39.79166667,-77.4375,0.869800595,365.234982,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,61,61,4753,1,5,4.828,1.2141,2,0,0.75,2.125,1,0
"62","91B63",39.8125,-77.34375,0.047326221,199.9044857,39.79166667,-77.3125,0.438889148,172.6574755,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,62,62,4751,0,0,0,0,0,0,2.25,1.9775,3,0
"63","91B71",39.85416667,-77.21875,0.202104549,158.3925756,39.875,-77.1875,0.497499611,168.6647944,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,63,63,4666,2,2,0,0.5059,2,0,2,0.575,2,0
